year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1903,177.3,119.8,219.2,69.1,100.7,60.4,102.9,195.1,164.2,322.4,117.6,121.5,419.4,389,358.4,604.2,1770.2
1904,163.8,159.9,73.4,80.3,81.4,51.1,82.3,121,89,70.6,93.2,122.9,445.2,235.1,254.5,252.8,1189
1905,62.5,61.6,180.9,111.6,29.5,77.7,63.4,169.6,66,93.5,141.1,44,247.1,321.9,310.7,300.5,1101.4
1906,209,120.1,101.8,40.7,127.2,68.6,39.9,131.8,38.9,221.8,112.6,128.7,373.1,269.6,240.3,373.2,1340.9
1907,85.4,74.2,69.7,100.2,101,147.5,94.3,129,32.2,236,110.6,159.9,288.3,271,370.7,378.8,1340
1908,102.9,101.8,137.5,89,96.8,67.2,139.5,147.5,116.4,71.7,105,141.6,364.5,323.3,354.3,293.1,1316.9
1909,83.2,32.3,124.5,115.3,48.1,78.8,122.5,75.9,123.5,231.6,65.5,216,257.1,287.9,277.2,420.7,1317.3
1910,147.1,172,51.1,109.8,75.5,138.3,121.2,189,13.4,130.7,191.6,229.5,535.1,236.4,448.5,335.7,1569.2
1911,54.9,112.5,74.1,77.8,57.3,94.8,20.4,120,109.9,128.5,186.8,282.5,396.9,209.2,235.2,425.3,1319.6
1912,134.7,98.7,214.7,14.5,52.6,156.1,132.2,255.1,31.1,163.6,127.7,184.9,515.9,281.8,543.4,322.3,1565.8
1913,180.4,67.9,190.5,166.1,96.9,86.3,37.7,69,115.6,145,174.6,87.8,433.3,453.4,193,435.2,1417.8
1914,98.9,152.4,181,43.4,74.4,64.6,144.6,113.6,75.5,68.7,156.2,263.4,339.1,298.9,322.8,300.4,1436.7
1915,152.4,205.5,45.8,61.8,82.8,52,143.7,93.1,37.3,104.4,113,269.4,621.3,190.4,288.8,254.6,1361.1
1916,116.6,181.2,89.7,84.7,109.7,77.3,57.1,92.2,93.5,261.5,131,103.3,567.1,284.2,226.7,486.1,1397.9
1917,58,50.4,96,73.6,95.6,77.5,76.4,272.5,84,209.9,115.9,58.3,211.7,265.2,426.4,409.7,1268.1
1918,134.4,139.7,75.3,57,86.1,52.5,138.4,76.6,291.9,130.9,107.5,234.1,332.4,218.4,267.5,530.4,1524.4
1919,160.9,93.3,203.2,81.1,35.4,70.3,44.7,105.7,91.5,82.4,88.4,235.5,488.3,319.7,220.6,262.3,1292.4
1920,190.1,106.8,189.9,193.4,123.2,99.5,197.4,79.2,127.1,117.7,78.6,138.9,532.4,506.4,376.1,323.4,1641.7
1921,194.4,9.8,141.9,40.9,63.5,10,68.4,164.5,60.5,83.4,98.9,141.1,343,246.4,243,242.8,1077.4
1922,154.5,174.4,116.9,95.3,44,50.8,156.2,111.2,117.3,41.3,67.6,184.5,470,256.2,318.2,226.2,1314
1923,112.3,270.8,54.9,98.3,96.5,32.6,111.3,143.1,130.8,228.6,156.3,142.3,567.6,249.7,286.9,515.7,1577.7
1924,148,23.3,53.8,103.4,150.5,88.2,168.2,168.1,196.3,175.5,100.5,219.6,313.6,307.7,424.4,472.4,1595.5
1925,129.9,230,40.4,91.4,140.5,2.1,84.7,141.1,124.5,179.4,92.8,133,579.5,272.4,228,396.6,1389.9
1926,181.8,122,39.2,69.6,87.2,64.6,131.3,134.5,78.3,123,254.8,33.9,436.8,196,330.4,456.1,1320.2
1927,163.4,113,143,68.1,53.1,143.1,132.1,224.9,178.7,136.9,160.8,82.2,310.3,264.1,500,476.3,1599.1
1928,280.5,163.4,111,48.3,31.5,158.9,87,140.8,50.9,223.1,242.1,140.7,526,190.8,386.7,516,1678
1929,57.5,44.3,27.4,33.4,100.3,78.7,98.4,117.8,52.2,208,337.3,307.4,242.5,161.1,294.8,597.5,1462.7
1930,234.4,17.8,100.1,97.5,64.3,55.2,133.5,151,157.4,208.6,182,194.7,559.6,261.8,339.7,548,1596.5
1931,138.4,142.6,35.7,109.3,133.4,127.4,128.6,144.2,89.7,61.8,264.1,88,475.7,278.3,400.3,415.7,1463.4
1932,202.8,3.5,90.4,126,137.8,49.5,146.9,51.2,134.7,238.4,113.8,103.6,294.3,354.2,247.7,487,1398.8
1933,128.2,142.6,102.9,42.9,56.1,83.4,86.5,47.2,43.3,188.7,41.1,51.8,374.4,201.9,217.2,273,1014.8
1934,150.8,14.7,104.3,91.5,85,55.6,37.7,133.7,115,158.7,65.4,289.5,217.3,280.8,227,339.1,1301.9
1935,56,178.9,40.4,146.5,48.9,145.7,29,63.5,218.9,206.8,195,111.8,524.3,235.9,238.2,620.8,1441.5
1936,183.6,81.9,97,78.3,50.7,131.7,191.4,44.2,123.4,89.9,157.9,188.4,377.3,225.9,367.3,371.2,1418.3
1937,185.7,222.4,94.7,102.5,55.5,56.3,85.6,42.1,84,115.6,64.7,110.1,596.5,252.7,183.9,264.3,1219.1
1938,202.3,65.1,40.1,8.8,98,120.7,135.1,115.4,65.2,224.6,216,145.6,377.4,146.9,371.1,505.9,1436.9
1939,227.8,135.1,83.7,88.8,29.2,80,241.8,96,31.5,92.1,265.4,103.6,508.5,201.8,417.8,389,1475
1940,111.1,128,105.4,88,60.5,28.5,124.9,21.2,83.1,173.3,283.2,113.2,342.8,254,174.7,539.6,1320.7
1941,107.7,135.8,103.3,47.2,83.2,35.9,77.8,157.2,31.9,141.5,100.7,110.5,356.8,233.6,270.8,274.1,1132.6
1942,168.3,33.4,104.5,70,157.4,15.2,114.7,136.2,117.2,134.2,28.5,195,312.2,331.8,266.1,280,1274.6
1943,227.5,103.5,44,51.2,128.3,107.3,90.8,138.8,155.5,149.8,112.3,76.7,526,223.6,336.9,417.5,1385.6
1944,163.2,57.3,21.1,71.6,61.4,82.3,90.7,93.4,143.3,192.7,235.7,125.5,297.1,154.2,266.5,571.7,1338.4
1945,118.2,167.3,64.4,76.8,109,128.9,93.1,94.1,99.9,145.4,23.4,174.5,411,250.2,316,268.7,1295
1946,188.1,160.9,51.7,46.5,86.3,129.5,78.9,194,197.1,50.5,236.4,159.7,523.6,184.5,402.4,484,1579.6
1947,136.8,57.5,254.5,124.6,95.2,75.2,100.7,20,82.5,31,167,124.9,354,474.3,195.8,280.5,1269.8
1948,302.5,94.9,77.9,74.3,75.1,133.7,79.2,158.4,129.3,118.4,105.6,217.2,522.3,227.3,371.3,353.3,1566.5
1949,82.4,69.2,72,121.2,100.9,23.5,52.5,86.2,58,228.7,176.9,172.7,368.8,294.1,162.1,463.6,1244
1950,54.2,238.4,80.1,116.6,49.4,64.7,125.8,221.4,246.8,102.1,184.6,111.9,465.3,246.1,411.9,533.5,1596
1951,153.4,144.8,173.1,105.5,84.1,38.2,54.9,184.8,147.2,40.5,257.2,195.5,410,362.7,277.9,444.9,1579.1
1952,164.3,47.8,90,93.1,104.3,87.1,55.6,153.1,106.6,165.5,113.5,135.2,407.6,287.4,295.8,385.5,1316
1953,52.5,87.8,84.1,107.4,79.7,65.7,148,130.5,150.9,94.4,154,53.9,275.5,271.1,344.2,399.3,1208.9
1954,115.2,137.2,122.4,37.3,99.6,134.8,131.4,148.1,154.7,263.8,277.5,150.8,306.4,259.3,414.3,695.9,1772.8
1955,113.9,79,89.3,85.8,142.3,152.2,29.2,39.7,77.7,90.8,96.2,181.9,343.7,317.4,221,264.7,1178
1956,170,20.3,61.4,47.5,40.5,77.2,142.7,199.7,146.7,80,60.7,160,372.2,149.4,419.5,287.4,1206.7
1957,158.2,137.8,143.7,13.3,68.3,56.9,168.9,158.6,235.4,152,82,116.3,456.1,225.3,384.5,469.4,1491.5
1958,138.1,211.8,38.7,38.4,116.4,118.2,144.5,127.1,246.3,139.2,94.5,126.1,466.1,193.4,389.7,480,1539.1
1959,164,22.7,105.7,126.5,50.3,69.5,104.4,35.6,11.6,170.6,213.7,264.4,312.8,282.5,209.5,395.9,1339
1960,198.6,153.4,66.7,99.1,50.3,63.3,138.9,137.9,150.9,183.5,282.8,176.6,616.5,216.2,340,617.2,1702.1
1961,170,111.9,26.4,152.9,60.3,51.1,85.9,132,123,211.2,106.4,133.2,458.5,239.5,269,440.5,1364.1
1962,186,73.3,64.8,121.5,98.3,48.3,66.1,170.4,165.8,57.5,96.7,110.7,392.5,284.7,284.8,320,1259.5
1963,28.3,47,175.3,127.2,82.5,119,66,116.6,95.9,87,250.5,38.7,185.9,385,301.6,433.5,1234.1
1964,38.4,45.7,90.9,76.9,83.6,68.3,100.4,87.1,58.4,116.6,114.6,235,122.9,251.4,255.9,289.6,1116
1965,177.7,15.3,100.5,89.1,92.4,125.2,113.9,89.2,167.2,70.6,136.8,319,428,282,328.3,374.7,1497
1966,84.4,179.6,76.4,142.9,106.8,112.8,94.1,107.6,82.8,171.8,131.8,217.2,583,326.1,314.4,386.4,1508.2
1967,107.5,162.9,78.7,49.3,184.2,41.8,117.6,101.9,189.1,313.5,101.1,145.8,487.7,312.2,261.2,603.8,1593.5
1968,163.4,50.3,120.8,90.2,103.7,112.2,112.4,77.4,172.3,152.8,97,113.3,359.6,314.7,302,422.1,1365.9
1969,170.3,97.5,78.6,84.1,158.1,84.2,52.2,107.3,58.7,42.9,191.7,146.2,381.1,320.8,243.6,293.3,1271.8
1970,172,148,107.5,141.9,30.4,71.2,101.7,119.4,103.9,142.2,261.1,73,466.2,279.8,292.3,507.2,1472.3
1971,177.3,71.5,96,61,56.2,127.4,57.8,156.2,45,127.7,148.2,67.4,321.8,213.3,341.4,320.8,1191.8
1972,150.7,120.3,118.4,125.9,122.3,132.9,80.8,68.4,47.9,66.8,178.1,200.7,338.4,366.7,282,292.7,1413.1
1973,75.7,89.1,53.7,91,114.9,33.5,104.3,128.8,131.3,79.6,116.1,129.1,365.5,259.6,266.6,327,1147.1
1974,266.6,176.9,64.6,14.5,71.8,80.5,132.5,99,240.1,122.8,177.3,166.8,572.6,150.9,312,540.2,1613.4
1975,226.5,49.9,80.7,104.9,37.8,23,104.6,72.4,140.7,67,125.4,89.7,443.2,223.4,199.9,333.1,1122.7
1976,108.8,76.1,81.7,28.8,93,24.3,41.9,18.8,207.6,211.7,121.6,111.9,274.6,203.5,85,540.9,1126.1
1977,138.5,224.4,116.2,88.2,57.8,105.7,37.1,106,89.6,147.8,206.8,144.4,474.8,262.2,248.9,444.2,1462.7
1978,157.8,117.4,131.4,71.7,34.5,71.5,123.2,90.9,83.2,35.5,143.2,217,419.6,237.5,285.7,261.9,1277.3
1979,128,71.2,177.1,87.1,154.3,34.2,37.2,140,85,126.1,178.3,276.1,416.1,418.6,211.5,389.4,1494.8
1980,117.5,156.5,154,17.4,41.7,138.5,76.7,127.8,105.6,191.2,168.4,165.1,550.1,213.1,343.1,465.3,1460.5
1981,93,91.2,287.5,53.5,121.4,70.4,58.3,40.5,236.7,234.2,127.8,124.4,349.2,462.4,169.3,598.7,1538.9
1982,145.4,100.1,170.1,37.6,46.9,133.8,45.2,129.9,151.4,168.3,226,193.8,369.9,254.5,308.9,545.7,1548.4
1983,214.6,55.1,110.2,116.5,144.5,60.1,31.2,79.4,183.5,162.3,72.6,180,463.5,371.2,170.7,418.5,1410
1984,227.4,96.2,51.1,12.3,53.5,46.5,32.6,78.9,177.9,187.5,221.3,148.6,503.6,116.9,158,586.7,1333.8
1985,93.4,53.4,102.3,118.7,75.7,145.3,104.6,213,66.2,100.6,120,215.1,295.3,296.7,462.9,286.8,1408.3
1986,196.4,7.5,134.4,112,123.8,59,91.1,161.1,18.2,153.5,239.5,272,419,370.2,311.2,411.2,1568.6
1987,41.3,108.8,147,89.1,50,129.3,78.9,69.9,110.5,259.5,132.6,145.5,422.1,286,278,502.6,1362.3
1988,250.4,103,178.1,59.2,103.4,45.9,180.7,155.5,121,131.1,72.5,79.9,498.9,340.6,382.2,324.5,1480.6
1989,94.8,163.8,177.2,103,25.9,72.5,48.3,94.5,63.3,187.2,112.5,205.3,338.4,306.1,215.3,363,1348.3
1990,255.1,228.7,39.9,52.3,36.7,104.8,57.7,70.3,90,162.7,118.3,173.7,689.1,128.9,232.8,371,1390.1
1991,157.1,101.1,131.1,134.7,15.8,118.1,102.8,59.9,88,161,151.1,75.8,431.8,281.6,280.8,400,1296.5
1992,77.2,86.8,139.4,102.3,73.9,55.5,97.6,231,120.2,108.4,225,152.1,239.8,315.7,384,453.7,1469.4
1993,204.4,25.4,35.7,116.5,139.9,99.5,119.2,79.8,120.3,77.6,113.3,296.6,381.9,292.1,298.5,311.2,1428.2
1994,195.4,134.4,198.6,125.4,67.1,62.6,68.3,96.5,135.9,142.7,136.1,270.9,626.4,391,227.5,414.8,1634
1995,250.6,192.1,93.8,38.5,77.6,29,76.9,14.3,125.1,115.4,131.4,104,713.7,209.9,120.2,371.9,1248.7
1996,101.7,132.7,72.4,90.1,112.5,48.1,49.9,106.4,61.8,188.4,176.6,55.6,338.4,275,204.5,426.8,1196.2
1997,11.9,223.8,53.7,38.2,115.7,146.8,57.3,139.6,72.2,97.4,195.4,159.7,291.3,207.6,343.7,365,1311.7
1998,207.5,44.6,186.4,162.3,32.6,192.5,91,83.2,138.5,279.8,139.7,156,411.9,381.3,366.6,558.1,1714.3
1999,250.9,104,100.2,122.6,83.4,84.8,28,138.2,204.1,137.3,125.5,260.9,511,306.2,251,467,1639.9
2000,111,178.8,66.6,153.4,97.5,88.9,87.6,106.5,167.3,284.6,287.1,256,550.6,317.5,283,739,1885.3
2001,100.6,131.5,115.6,141.4,59.3,47.5,111.2,132.3,97,207.3,130.1,75.7,488.2,316.3,291,434.4,1349.5
2002,180.5,267.5,66.2,99.7,149.1,76.2,73.8,75.2,36.3,199.5,231.2,173.1,523.7,315,225.3,467,1628.5
2003,115.4,63.9,77.9,79.1,129.3,70.9,125,24.8,58.3,91.8,140.8,161.7,352.4,286.3,220.7,290.9,1138.9
2004,193.2,120.3,90.6,81.9,66.5,74.1,78.6,157.2,144.9,257.2,90.6,132.7,475.2,239,309.9,492.7,1487.7
2005,124,78.1,74.9,114.5,63,74.6,86.9,69.6,101.8,217.3,185.5,113.2,334.8,252.4,231.1,504.6,1303.5
2006,66.4,79.9,174,68.4,164.6,35.2,51.5,102.3,82.7,188.1,198.1,258.9,259.5,407,189,468.9,1470.2
2007,203.2,145.7,104,24.8,129.7,168.4,204.3,75.9,91.9,61.2,93.1,183.9,607.8,258.6,448.7,246.2,1486.2
2008,246.2,80.3,147.3,90.1,60.8,94.2,150.5,189.6,154.6,228.7,127.9,94.9,510.4,298.2,434.3,511.2,1665.1
2009,168.4,32.8,68,76.9,93.2,74.6,226.6,101.8,53.1,128.9,318.8,154,296,238.1,402.9,500.9,1497
2010,100.3,60.9,99.6,43.6,53.4,42.2,158.6,105.5,152.5,119,140.7,52.6,315.2,196.6,306.3,412.2,1128.9
2011,149.3,130.6,30.9,30.8,93.9,110,95.1,83.4,129.2,126.8,97.6,211.1,332.5,155.5,288.5,353.6,1288.6
2012,129.9,64.3,31.4,169.2,77,218.6,132.7,156.8,130.8,148.8,178,264.9,405.2,277.7,508.2,457.5,1702.4
2013,140.3,76.2,88.1,53.9,113.3,62.4,62.6,108.6,74.2,224.9,113.7,224.9,481.5,255.3,233.6,412.7,1343.1
2014,257.8,242,80.6,78.9,129.7,57.7,57.1,143.4,16.4,177.1,151.3,159.7,724.6,289.1,258.2,344.8,1551.6
2015,187.7,87.8,97.4,35.1,135,59.6,113.9,128.9,71.7,71.7,246,334.7,435.1,267.5,302.5,389.3,1569.4
2016,243.8,147.5,104.4,87.9,85.2,131.4,86.3,103.7,135.3,45,118.1,82.4,725.9,277.6,321.4,298.4,1371.1
2017,83.3,118.7,154.6,25.5,71.4,130.6,120.8,111.3,171,108.5,146.1,171.4,284.4,251.5,362.8,425.6,1413.3
2018,170.9,78,141.2,115.3,61,20.6,62.6,99.3,134.5,132,164.3,189.5,420.3,317.4,182.5,430.9,1369.2
2019,81.6,87.7,176.8,98.2,47.2,146.7,57.9,143.5,193.2,208.2,177.2,184.1,358.7,322.2,348.1,578.7,1602.3
2020,142.5,288.4,94.3,40.7,14.3,137,115,175.5,76.2,208.4,131.9,256.2,615,149.3,427.6,416.4,1680.4
2021,208.4,154.5,96.9,16.8,619.2,
